[-0.52729063 -0.00097966]
[-0.47286739 -0.03169   ]
[-0.50593641 -0.03306902]
[-0.53913783 -0.03320142]
[-0.57222275 -0.03308492]
[-0.60394429 -0.03172153]
[-0.63606905 -0.03212476]
[-0.6683662  -0.03229715]
[-0.6996114 -0.0312452]
[-0.72959701 -0.02998561]
[-0.75913411 -0.0295371 ]
[-0.78804807 -0.02891396]
[-0.81518026 -0.0271322 ]
[-0.84039401 -0.02521375]
[-0.86257366 -0.02217965]
[-0.88362707 -0.02105341]
[-0.90347549 -0.01984842]
[-0.92105271 -0.01757722]
[-0.93630681 -0.01525411]
[-0.95019799 -0.01389118]
[-0.96269427 -0.01249628]
[-0.97177046 -0.00907619]
[-0.97841038 -0.00663992]
[-0.98260334 -0.00419296]
[-0.98534309 -0.00273975]
[-9.84625764e-01  7.17327641e-04]
[-0.98045235  0.00417341]
[-0.97382889  0.00662346]
[-0.96476575  0.00906315]
[-0.95327866  0.01148709]
[-0.94039015  0.01288851]
[-0.92612888  0.01426127]
[-0.9085307   0.01759817]
[-0.88764575  0.02088496]
[-0.86354175  0.02410399]
[-0.83830771  0.02523404]
[-0.81104871  0.027259  ]
[-0.78189127  0.02915744]
[-0.75098477  0.03090651]
[-0.71750208  0.03348268]
[-0.68164577  0.03585632]
[-0.64464802  0.03699775]
[-0.60676222  0.0378858 ]
[-0.56925915  0.03750307]
[-0.53241469  0.03684446]
[-0.49450413  0.03791057]
[-0.45581149  0.03869263]
[-0.41662377  0.03918773]
[-0.37822465  0.03839912]
[-0.34088161  0.03734305]
[-0.30584134  0.03504027]
[-0.27332054  0.0325208 ]
[-0.24150536  0.03181518]
[-0.21056224  0.03094312]
[-0.18163669  0.02892554]
[-0.15584909  0.02578761]
[-0.13329317  0.02255592]
[-0.11404002  0.01925315]
[-0.09614199  0.01789803]
[-0.08064068  0.0155013 ]
[-0.06756658  0.0130741 ]
[-0.05794129  0.00962529]
[-0.04977833  0.00816296]
[-0.04308755  0.00669078]
[-0.03887591  0.00421164]
[-0.03714728  0.00172863]
[-0.03790315 -0.00075587]
[-0.04014287 -0.00223972]
[-0.04386449 -0.00372162]
[-0.05106449 -0.0072    ]
[-0.06173521 -0.01067072]
[-0.07486318 -0.01312797]
[-0.09042836 -0.01556518]
[-0.10840211 -0.01797375]
[-0.12774482 -0.01934271]
[-0.14840618 -0.02066136]
[-0.17232384 -0.02391765]
[-0.19941479 -0.02709095]
[-0.22957156 -0.03015677]
[-0.26165849 -0.03208693]
[-0.29551393 -0.03385544]
[-0.33194961 -0.03643568]
[-0.37074477 -0.03879516]
[-0.41164657 -0.0409018 ]
[-0.45337232 -0.04172575]
[-0.49562088 -0.04224856]
[-0.53707903 -0.04145815]
[-0.5774361  -0.04035707]
[-0.61839115 -0.04095505]
[-0.6596448  -0.04125365]
[-0.6999062 -0.0402614]
[-0.73790608 -0.03799989]
[-0.77340713 -0.03550105]
[-0.80820513 -0.034798  ]
[-0.84211864 -0.03391351]
[-0.87299056 -0.03087192]
[-0.9006962  -0.02770564]
[-0.92513943 -0.02444323]
[-0.9472484  -0.02210897]
[-0.96796891 -0.02072052]
[-0.98725972 -0.0192908 ]
[-1.00309082 -0.01583111]
[-1.01544379 -0.01235296]
[-1.02630809 -0.0108643 ]
[-1.03567729 -0.00936921]
[-1.04254799 -0.0068707 ]
[-1.04691893 -0.00437094]
[-1.04978987 -0.00287094]
[-1.05116089 -0.00137102]
[-1.04903208  0.00212881]
[-1.04340332  0.00562877]
[-1.03427471  0.00912861]
[-1.02264798  0.01162673]
[-1.00852803  0.01411995]
[-0.99292489  0.01560315]
[-0.97585481  0.01707008]
[-0.95534177  0.02051304]
[-0.93142305  0.02391872]
[-0.90515361  0.02626944]
[-0.87660775  0.02854586]
[-0.84688218  0.02972556]
[-0.81609462  0.03078757]
[-0.78438421  0.0317104 ]
[-0.74991143  0.03447279]
[-0.71286873  0.0370427 ]
[-0.67548156  0.03738717]
[-0.63699427  0.03848728]
[-0.59767283  0.03932144]
[-0.5568004   0.04087243]
[-0.51467937  0.04212103]
[-0.47362522  0.04105415]
[-0.43294447  0.04068075]
[-0.39293528  0.04000919]
[-0.35288116  0.04005412]
[-0.31305218  0.03982898]
[-0.27369937  0.03935281]
[-0.23605011  0.03764926]
[-0.20029976  0.03575035]
[-0.16561148  0.03468828]
[-0.13212094  0.03349054]
[-0.09993658  0.03218436]
[-0.0691407   0.03079588]
[-0.04079123  0.02834947]
[-0.01492307  0.02586816]
[0.0074476  0.02237067]
[0.02631889 0.01887129]
[0.04369797 0.01737908]
[0.0595985  0.01590053]
[0.07303889 0.01344039]
[0.08303905 0.01000016]
[0.08961639 0.00657733]
[0.09278353 0.00316714]
[0.09454689 0.00176337]
[0.09491015 0.00036326]
[ 0.09287407 -0.00203608]
[ 0.0884344  -0.00443967]
[ 0.08058219 -0.0078522 ]
[ 0.06930269 -0.01127951]
[ 0.05657702 -0.01272567]
[ 0.04238727 -0.01418975]
[ 0.02571771 -0.01666956]
[ 0.00655559 -0.01916212]
[-0.01610605 -0.02266164]
[-0.04226478 -0.02615872]
[-0.06990343 -0.02763865]
[-0.09898731 -0.02908388]
[-0.13046177 -0.03147446]
[-0.16424718 -0.03378541]
[-0.19923518 -0.03498801]
[-0.23528976 -0.03605458]
[-0.27224696 -0.0369572 ]
[-0.31091567 -0.0386687 ]
[-0.35107344 -0.04015778]
[-0.39346815 -0.04239471]
[-0.43781424 -0.04434609]
[-0.48379664 -0.0459824 ]
[-0.53107684 -0.0472802 ]
[-0.57830097 -0.04722412]
[-0.62511666 -0.04681569]
[-0.67118269 -0.04606603]
[-0.71717764 -0.04599496]
[-0.762801   -0.04562336]
[-0.8067804 -0.0439794]
[-0.84888235 -0.04210195]
[-0.88891385 -0.0400315 ]
[-0.92772195 -0.0388081 ]
[-0.96518893 -0.03746698]
[-1.00023118 -0.03504226]
[-1.03279821 -0.03256703]
[-1.06186757 -0.02906936]
[-1.08743936 -0.02557178]
[-1.11152933 -0.02408998]
[-1.13316573 -0.02163639]
[-1.15238481 -0.01921908]
[-1.16822733 -0.01584252]
[-1.18073284 -0.01250551]
[-1.19193629 -0.01120345]
[-1.2  0. ]
[-1.1977581  0.0022419]
[-1.19326692  0.00449118]
[-1.18751196  0.00575497]
[-1.18047523  0.00703673]
[-1.17013569  0.01033954]
[-1.15646426  0.01367143]
[-1.13942595  0.01703831]
[-1.11998272  0.01944323]
[-1.09809886  0.02188386]
[-1.07474409  0.02335477]
[-1.04989785  0.02484624]
[-1.02155169  0.02834616]
[-0.98971292  0.03183876]
[-0.95541124  0.03430168]
[-0.91770374  0.0377075 ]
[-0.87668253  0.04102121]
[-0.83248135  0.04420119]
[-0.78728113  0.04520021]
[-0.74130319  0.04597794]
[-0.6928061   0.04849709]
[-0.64209376  0.05071234]
[-0.5895113   0.05258246]
[-0.53643771  0.05307359]
[-0.48326786  0.05316985]
[-0.43139975  0.05186811]
[-0.38121435  0.0501854 ]
[-0.33306465  0.0481497 ]
[-0.28626741  0.04679725]
[-0.24210352  0.04416388]
[-0.20080872  0.04129481]
[-0.16257381  0.0382349 ]
[-0.12754742  0.03502639]
[-0.09484023  0.03270719]
[-0.06553253  0.0293077 ]
[-0.03767667  0.02785586]
[-0.01130486  0.02637181]
[0.01256839 0.02387325]
[0.03394341 0.02137502]
[0.05383139 0.01988798]
[0.07225189 0.01842051]
[0.0872309 0.014979 ]
[0.09979502 0.01256412]
[0.10997034 0.01017533]
[0.11778049 0.00781015]
[0.12424509 0.00646459]
[0.12938134 0.00513626]
[0.13120357 0.00182222]
[ 0.12971696 -0.0014866 ]
[ 0.12591728 -0.00379968]
[ 0.11979386 -0.00612342]
[ 0.11233016 -0.00746371]
[ 0.10350706 -0.00882309]
[ 0.09130353 -0.01220353]
[ 0.0756932  -0.01561033]
[ 0.05664706 -0.01904615]
[ 0.03513692 -0.02151014]
[ 0.01114066 -0.02399626]
[-0.01435421 -0.02549486]
[-0.04334675 -0.02899255]
[-0.07581819 -0.03247144]
[-0.11172524 -0.03590705]
[-0.15099316 -0.03926793]
[-0.19350896 -0.0425158 ]
[-0.23811519 -0.04460623]
[-0.28461023 -0.04649504]
[-0.33174801 -0.04713779]
[-0.37924655 -0.04749853]
[-0.4267942  -0.04754765]
[-0.47405772 -0.04726352]
[-0.52069143 -0.04663371]
[-0.56634695 -0.04565552]
[-0.61068273 -0.04433579]
[-0.65337279 -0.04269006]
[-0.69611395 -0.04274116]
[-0.73661824 -0.04050429]
[-0.77463142 -0.03801319]
[-0.80993485 -0.03530343]
[-0.84334529 -0.03341044]
[-0.87470885 -0.03136355]
[-0.90489971 -0.03019087]
[-0.93381494 -0.02891522]
[-0.9593734  -0.02555846]
[-0.98151813 -0.02214473]
[-1.00121124 -0.01969311]
[-1.0184281  -0.01721686]
[-1.03315426 -0.01472616]
[-1.04438264 -0.01122838]
[-1.05211112 -0.00772847]
[-1.05633986 -0.00422874]
[-1.05806954 -0.00172968]
[-1.05830056e+00 -2.31013483e-04]
[-1.05703296  0.0012676 ]
[-1.05326644  0.00376651]
[-1.04600035  0.0072661 ]
[-1.03523427  0.01076608]
[-1.0209698   0.01426447]
[-1.00421306  0.01675674]
[-0.98497708  0.01923598]
[-0.96428453  0.02069255]
[-0.94016892  0.02411561]
[-0.91268107  0.02748784]
[-0.88289405  0.02978703]
[-0.85090462  0.03198943]
[-0.81683629  0.03406834]
[-0.78084156  0.03599472]
[-0.7441034   0.03673816]
[-0.70682946  0.03727394]
[-0.66724945  0.03958   ]
[-0.62562511  0.04162434]
[-0.58324746  0.04237765]
[-0.54042483  0.04282263]
[-0.49647606  0.04394877]
[-0.45173048  0.04474558]
[-0.40651975  0.04521073]
[-0.36216917  0.04435058]
[-0.31898254  0.04318663]
[-0.27623595  0.04274659]
[-0.23417893  0.04205702]
[-0.19302993  0.041149  ]
[-0.15397332  0.0390566 ]
[-0.11715472  0.0368186 ]
[-0.08368329  0.03347143]
[-0.05363349  0.0300498 ]
[-0.0270514   0.02658209]
[-0.00396108  0.02309032]
[0.01762942 0.0215905 ]
[0.03672341 0.01909399]
[0.05233256 0.01560915]
[0.06447245 0.0121399 ]
[0.07515897 0.01068651]
[0.08440876 0.00924979]
[0.09123828 0.00682952]
[0.09566087 0.00442259]
[0.0966857  0.00102483]
[ 0.09431496 -0.00237074]
[ 0.09054363 -0.00377133]
[ 0.08536396 -0.00517967]
[ 0.07776583 -0.00759814]
[ 0.06773542 -0.01003041]
[ 0.05525645 -0.01247897]
[ 0.03931175 -0.0159447 ]
[ 0.02188441 -0.01742733]
[ 0.00296247 -0.01892195]
[-0.01945938 -0.02242185]
[-0.04437697 -0.02491759]
[-0.07177244 -0.02739547]
[-0.10161018 -0.02983774]
[-0.13283267 -0.03122248]
[-0.16535926 -0.0325266 ]
[-0.2010845  -0.03572524]
[-0.23986847 -0.03878397]
[-0.28153261 -0.04166414]
[-0.32485683 -0.04332422]
[-0.36958485 -0.04472803]
[-0.41542732 -0.04584247]
[-0.46306691 -0.04763959]
[-0.512158   -0.04909109]
[-0.56233488 -0.05017688]
[-0.61222188 -0.04988701]
[-0.66145202 -0.04923014]
[-0.70967748 -0.04822546]
[-0.75757872 -0.04790123]
[-0.8048657  -0.04728698]
[-0.84928474 -0.04441905]
[-0.89063165 -0.04134691]
[-0.9307493  -0.04011765]
[-0.96951795 -0.03876865]
[-1.00685418 -0.03733623]
[-1.0407087  -0.03385452]
[-1.07306369 -0.03235499]
[-1.1039262  -0.03086251]
[-1.13332483 -0.02939863]
[-1.16130645 -0.02798162]
[-1.18693313 -0.02562668]
[-1.2  0. ]
[-1.1987581  0.0012419]
[-1.19627021  0.0024879 ]
[-1.19052817  0.00574203]
[-1.18251372  0.00801446]
[-1.17220244  0.01031128]
[-1.16056491  0.01163753]
[-1.14757058  0.01299433]
[-1.13118873  0.01638185]
[-1.11138583  0.0198029 ]
[-1.08912914  0.02225669]
[-1.0643922   0.02473694]
[-1.03815858  0.02623361]
[-1.01042589  0.02773269]
[-0.98120839  0.0292175 ]
[-0.95053972  0.03066867]
[-0.91647542  0.0340643 ]
[-0.87910092  0.03737451]
[-0.83953762  0.0395633 ]
[-0.79794396  0.04159366]
[-0.75451727  0.04342669]
[-0.71049392  0.04402334]
[-0.66614116  0.04435276]
[-0.62175162  0.04438954]
[-0.57763653  0.0441151 ]
[-0.53411792  0.04351861]
[-0.49152043  0.04259749]
[-0.44916316  0.04235727]
[-0.40835953  0.04080363]
[-0.36940308  0.03895645]
[-0.33256229  0.03684079]
[-0.29707712  0.03548517]
[-0.26316309  0.03391403]
[-0.23000957  0.03315351]
[-0.19778413  0.03222544]
[-0.16863136  0.02915277]
[-0.14166545  0.02696591]
[-0.11697713  0.02468831]
[-0.09363645  0.02334068]
[-0.07169778  0.02193867]
[-0.0522015   0.01949628]
[-0.03517463  0.01702687]
[-0.02163385  0.01354078]
[-0.0115878   0.01004604]
[-0.00304025  0.00854755]
[0.00400741 0.00704766]
[0.00755525 0.00354784]
[7.60372755e-03 4.84808109e-05]
[ 0.00415286 -0.00345087]
[-0.00279782 -0.00695067]
[-0.0122484  -0.00945059]
[-0.0231973 -0.0109489]
[-0.03564015 -0.01244285]
[-0.05156872 -0.01592857]
[-0.07096743 -0.01939871]
[-0.0938097  -0.02284227]
[-0.11905362 -0.02524392]
[-0.14663977 -0.02758615]
[-0.17548788 -0.02884811]
[-0.20549747 -0.03000959]
[-0.23854684 -0.03304937]
[-0.27448289 -0.03593605]
[-0.31111818 -0.03663529]
[-0.34824132 -0.03712314]
[-0.38661982 -0.03837849]
[-0.42599698 -0.03937717]
[-0.46609575 -0.04009876]
[-0.50762365 -0.0415279 ]
[-0.54827132 -0.04064767]
[-0.58873411 -0.04046279]
[-0.62871149 -0.03997738]
[-0.66891353 -0.04020204]
[-0.7090599  -0.04014637]
[-0.74788597 -0.03882607]
[-0.78515398 -0.03726801]
[-0.82065551 -0.03550154]
[-0.85421253 -0.03355702]
[-0.88567696 -0.03146443]
[-0.91492919 -0.02925223]
[-0.94187567 -0.02694648]
[-0.96744591 -0.02557024]
[-0.99158736 -0.02414145]
[-1.01426353 -0.02267616]
[-1.03345188 -0.01918835]
[-1.05114236 -0.01769048]
[-1.06733301 -0.01619065]
[-1.08202823 -0.01469521]
[-1.09423708 -0.01220885]
[-1.10397078 -0.0097337 ]
[-1.11124065 -0.00726988]
[-1.11505653 -0.00381588]
[-1.11542403e+00 -3.67501316e-04]
[-1.11434372e+00  1.08031416e-03]
[-1.11181395  0.00252976]
[-1.10683101  0.00498294]
[-1.09938798  0.00744304]
[-1.08947552  0.00991246]
[-1.07608314  0.01339238]
[-1.05920015  0.016883  ]
[-1.03881877  0.02038137]
[-1.01593819  0.02288059]
[-0.99056859  0.0253696 ]
[-0.96173498  0.02883361]
[-0.92948309  0.03225189]
[-0.89588547  0.03359762]
[-0.86104103  0.03484444]
[-0.82307643  0.0379646 ]
[-0.78215595  0.04092048]
[-0.73848497  0.04367097]
[-0.69231169  0.04617329]
[-0.64492639  0.0473853 ]
[-0.5956511   0.04927529]
[-0.54483961  0.05081149]
[-0.49286892  0.05197069]
[-0.44012838  0.05274054]
[-0.38700735  0.05312103]
[-0.33488233  0.05212503]
[-0.28309826  0.05178406]
[-0.23196548  0.05113278]
[-0.1817514   0.05021408]
[-0.13367481  0.04807659]
[-0.08789987  0.04577494]
[-0.04353852  0.04436136]
[-0.00065586  0.04288265]
[0.0407268  0.04138266]
[0.07962809 0.03890129]
[0.11610038 0.03647229]
[0.14922278 0.0331224 ]
[0.18109154 0.03186876]
[0.21182024 0.03072871]
[0.24053695 0.02871671]
[0.26737681 0.02683985]
[0.29147872 0.02410191]
[0.31297705 0.02149834]
[0.33399876 0.02102171]
[0.35467392 0.02067516]
[0.37413568 0.01946176]
[0.39251365 0.01837797]
[0.40893362 0.01641998]
[0.42351047 0.01457685]
[0.43834789 0.01483742]
[0.45355287 0.01520498]
[0.46823637 0.0146835 ]
[0.48250655 0.01427018]
[0.49546932 0.01296277]
[0.50722137 0.01175205]
----
[-0.5788336   0.00142289]
[-0.57599834  0.00283526]
[-0.5737717   0.00222664]
[-0.57217019  0.00160152]
[-0.57020568  0.00196451]
[-0.56789275  0.00231293]
[-0.56424859  0.00364416]
[-0.55930032  0.00494827]
[-0.5550848   0.00421552]
[-0.55163348  0.00345132]
[-0.54797215  0.00366133]
[-0.54412818  0.00384397]
[-0.53913034  0.00499784]
[-0.53301605  0.00611429]
[-0.52583115  0.00718491]
